"variable","varsymbol","pricesymbol"
"978","saving bonds-quebec pension plan (qpp)-3850038","",""
"979","bonds, liabilities-quebec pension plan (qpp)-3850038","",""
"980","loans, liabilities-quebec pension plan (qpp)-3850038","",""
"981","bank overdrafts-quebec pension plan (qpp)-3850038","",""
"982","loans and advances, liabilities-quebec pension plan (qpp)-3850038","",""
"983","mortgages, liabilities-quebec pension plan (qpp)-3850038","",""
"984","equity, liabilities-quebec pension plan (qpp)-3850038","",""
"985","insurance, pension and standardized guarantee schemes, liabilities-quebec pension plan (qpp)-3850038","",""
"986","pensions plans, liabilities-quebec pension plan (qpp)-3850038","",""
"987","insurance and standardized guarantee schemes, liabilities-quebec pension plan (qpp)-3850038","",""
"988","other accounts payable-quebec pension plan (qpp)-3850038","",""
"989","trade credits and advances, payable-quebec pension plan (qpp)-3850038","",""
"990","other payable-quebec pension plan (qpp)-3850038","",""
"991","monetary gold and special drawing rights (sdr), liabilities-quebec pension plan (qpp)-3850038","",""
"992","memorandum items, nonfinancial assets according to public sector accounts-quebec pension plan (qpp)-3850038","",""
"993","memorandum items, liabilities at nominal value-quebec pension plan (qpp)-3850038","",""
"994","memorandum items, employee future benefits-quebec pension plan (qpp)-3850038","",""
"995","memorandum items, environmental liabilities-quebec pension plan (qpp)-3850038","",""
"996","investment-total residential-0310008-current prices","",""
"997","geometric depreciation-total residential-0310008-current prices","",""
"998","geometric end-year net stock-total residential-0310008-current prices","",""
"999","investment-total residential-0310008-chained 2012 dollars","",""
"1000","geometric depreciation-total residential-0310008-chained 2012 dollars","",""
"1001","geometric end-year net stock-total residential-0310008-chained 2012 dollars","",""
"1002","capital and repair expenditures-capital expenditures-0290045","",""
"1003","capital and repair expenditures-capital, construction-0290045","",""
"1004","capital and repair expenditures-capital, machinery and equipment-0290045","",""
"1005","capital and repair expenditures-capital expenditures-0290046","",""
"1006","capital and repair expenditures-capital, construction-0290046","",""
"1007","capital and repair expenditures-capital, machinery and equipment-0290046","",""
"1008","capital expenditures on intellectual property product-mineral exploration-0290051","IFMIN","!"
"1009","opening inventory-total all stores-0800030","",""
"1010","closing inventory-total all stores-0800030","",""
"1011","plus: change in pension entitlements-3840040","",""
"1012","total salaries and wages-3010008","",""
"1013","cost of materials and supplies-3010008","",""
"1014","gross operating balance-consolidated canadian general government-3850042","GB_GROSS",""
"1015","net operating balance-consolidated canadian general government-3850042","GB_NET",""
"1016","revenue-consolidated canadian general government-3850042","GREV",""
"1017","taxes-consolidated canadian general government-3850042","",""
"1018","taxes on income, profits and capital gains-consolidated canadian general government-3850042","",""
"1019","taxes on income, profits and capital gains payable by individuals-consolidated canadian general government-3850042","TY",""
"1020","taxes on income, profits and capital gains payable by corporations and other enterprises-consolidated canadian general government-3850042","TC",""
"1021","taxes on income, profits and capital gains payable by nonresidents-consolidated canadian general government-3850042","",""
"1022","taxes on payroll and workforce-consolidated canadian general government-3850042","TP",""
"1023","taxes on property-consolidated canadian general government-3850042","",""
"1024","recurrent taxes on immovable property-consolidated canadian general government-3850042","",""
"1025","real property taxes-consolidated canadian general government-3850042","",""
"1026","special assessments-consolidated canadian general government-3850042","",""
"1027","business taxes-consolidated canadian general government-3850042","",""
"1028","payments in lieu of taxes-consolidated canadian general government-3850042","",""
"1029","other taxes on property-consolidated canadian general government-3850042","",""
"1030","taxes on goods and services-consolidated canadian general government-3850042","TX",""
"1031","general taxes on goods and services-consolidated canadian general government-3850042","",""
"1032","excises-consolidated canadian general government-3850042","",""
"1033","liquor taxes-consolidated canadian general government-3850042","",""
"1034","tobacco taxes-consolidated canadian general government-3850042","",""
"1035","gasoline and motive fuel taxes-consolidated canadian general government-3850042","",""
"1036","other excise taxes-consolidated canadian general government-3850042","",""
"1037","profits of fiscal monopolies-consolidated canadian general government-3850042","",""
"1038","remitted liquor profits-consolidated canadian general government-3850042","",""
"1039","remitted profits on games of chance and other-consolidated canadian general government-3850042","",""
"1040","taxes on specific services-consolidated canadian general government-3850042","",""
"1041","taxes on use of goods and on permission to use goods or perform activities-consolidated canadian general government-3850042","",""
"1042","motor vehicle taxes-consolidated canadian general government-3850042","",""
"1043","other taxes on use of goods and on permission to use goods or perform activities-consolidated canadian general government-3850042","",""
"1044","other taxes on goods and services-consolidated canadian general government-3850042","",""
"1045","other taxes-consolidated canadian general government-3850042","",""
"1046","social contributions-consolidated canadian general government-3850042","TSS",""
"1047","social security contributions-consolidated canadian general government-3850042","",""
"1048","contributions to workers' compensation boards-consolidated canadian general government-3850042","",""
"1049","other social security contributions-consolidated canadian general government-3850042","",""
"1050","other social contributions-consolidated canadian general government-3850042","",""
"1051","grants, revenue-consolidated canadian general government-3850042","",""
"1052","grants from foreign governments and international governmental organizations-consolidated canadian general government-3850042","",""
"1053","grants from general government units-consolidated canadian general government-3850042","",""
"1054","other revenue-consolidated canadian general government-3850042","",""
"1055","property income-consolidated canadian general government-3850042","",""
"1056","interest revenue-consolidated canadian general government-3850042","",""
"1057","dividend revenue-consolidated canadian general government-3850042","",""
"1058","rent-consolidated canadian general government-3850042","",""
"1059","oil and gas royalties-consolidated canadian general government-3850042","",""
"1060","forestry royalties-consolidated canadian general government-3850042","",""
"1061","mineral royalties-consolidated canadian general government-3850042","",""
"1062","water power royalties-consolidated canadian general government-3850042","",""
"1063","other rent and property income-consolidated canadian general government-3850042","",""
"1064","sales of goods and services-consolidated canadian general government-3850042","",""
"1065","administrative fees-consolidated canadian general government-3850042","",""
"1066","housing and communtiy amenities-consolidated canadian general government-3850042","",""
"1067","tuition and school fees-consolidated canadian general government-3850042","",""
"1068","other sales of goods and services-consolidated canadian general government-3850042","",""
"1069","fines, penalties and forfeits-consolidated canadian general government-3850042","",""
"1070","voluntary transfers other than grants-consolidated canadian general government-3850042","",""
"1071","miscellaneous revenue-consolidated canadian general government-3850042","",""
"1072","expense-consolidated canadian general government-3850042","GEXP",""
"1073","compensation of employees-consolidated canadian general government-3850042","",""
"1074","use of goods and services-consolidated canadian general government-3850042","",""
"1075","consumption of fixed capital-consolidated canadian general government-3850042","GDEPR",""
"1076","interest expense-consolidated canadian general government-3850042","GDIP",""
"1077","subsidies-consolidated canadian general government-3850042","",""
"1078","subsidies to government business enterprises-consolidated canadian general government-3850042","",""
"1079","subsidies to private enterprises-consolidated canadian general government-3850042","",""
"1080","agricultural subsidies to private enterprises-consolidated canadian general government-3850042","",""
"1081","other subsidies to private enterprises on products-consolidated canadian general government-3850042","",""
"1082","other subsidies to private enterprises on production-consolidated canadian general government-3850042","",""
"1083","grants, expense-consolidated canadian general government-3850042","",""
"1084","grants to foreign governments and international governmental organizations-consolidated canadian general government-3850042","",""
"1085","grants to general government units-consolidated canadian general government-3850042","",""
"1086","social benefits-consolidated canadian general government-3850042","",""
"1087","social security benefits-consolidated canadian general government-3850042","",""
"1088","employment insurance and parental insurance benefits-consolidated canadian general government-3850042","",""
"1089","other social security benefits-consolidated canadian general government-3850042","",""
"1090","social assistance benefits-consolidated canadian general government-3850042","",""
"1091","employer social benefits-consolidated canadian general government-3850042","",""
"1092","other expense-consolidated canadian general government-3850042","",""
"1093","property expense other than interest-consolidated canadian general government-3850042","",""
"1094","miscellaneous other expense-consolidated canadian general government-3850042","",""
"1095","miscellaneous other current expense-consolidated canadian general government-3850042","",""
"1096","tax expenses-consolidated canadian general government-3850042","",""
"1097","transfers to persons-consolidated canadian general government-3850042","",""
"1098","transfers to non-profit institutions-consolidated canadian general government-3850042","",""
"1099","other miscellaneous current expenses-consolidated canadian general government-3850042","",""
"1100","miscellaneous other capital expense-consolidated canadian general government-3850042","",""
"1101","memorandum items, total expenditures-consolidated canadian general government-3850042","",""
"1102","memorandum items, capitalized research and development costs-consolidated canadian general government-3850042","",""
"1103","memorandum items, capitalized research and development compensation of employees-consolidated canadian general government-3850042","",""
"1104","memorandum items, capitalized research and development use of goods and services-consolidated canadian general government-3850042","",""
"1105","memorandum items, consumption of fixed capital according to public sector accounts-consolidated canadian general government-3850042","",""
"1106","net worth-consolidated canadian general government-3850042","",""
"1107","nonfinancial assets-consolidated canadian general government-3850042","",""
"1108","net financial worth-consolidated canadian general government-3850042","",""
"1109","financial assets-consolidated canadian general government-3850042","",""
"1110","currency and deposits, assets-consolidated canadian general government-3850042","",""
"1111","debt securities, assets-consolidated canadian general government-3850042","",""
"1112","treasury bills, assets-consolidated canadian general government-3850042","",""
"1113","finance and other short-term paper, assets-consolidated canadian general government-3850042","",""
"1114","bonds, assets-consolidated canadian general government-3850042","",""
"1115","loans, assets-consolidated canadian general government-3850042","",""
"1116","loans and advances, assets-consolidated canadian general government-3850042","",""
"1117","mortgages, assets-consolidated canadian general government-3850042","",""
"1118","equity and investment fund shares, assets-consolidated canadian general government-3850042","",""
"1119","marketable shares-consolidated canadian general government-3850042","",""
"1120","non-marketable shares and other equity-consolidated canadian general government-3850042","",""
"1121","investment fund shares-consolidated canadian general government-3850042","",""
"1122","insurance and pension, assets-consolidated canadian general government-3850042","",""
"1123","other accounts receivable-consolidated canadian general government-3850042","",""
"1124","trade credits and advances, receivable-consolidated canadian general government-3850042","",""
"1125","other receivable-consolidated canadian general government-3850042","",""
"1126","monetary gold and special drawing rights (sdr), assets-consolidated canadian general government-3850042","",""
"1127","liabilities-consolidated canadian general government-3850042","",""
"1128","currency and deposits, liabilities-consolidated canadian general government-3850042","",""
"1129","debt securities, liabilities-consolidated canadian general government-3850042","",""
"1130","treasury bills, liabilities-consolidated canadian general government-3850042","",""
"1131","finance and other short-term paper, liabilities-consolidated canadian general government-3850042","",""
"1132","saving bonds-consolidated canadian general government-3850042","",""
"1133","bonds, liabilities-consolidated canadian general government-3850042","",""
"1134","loans, liabilities-consolidated canadian general government-3850042","",""
"1135","bank overdrafts-consolidated canadian general government-3850042","",""
"1136","loans and advances, liabilities-consolidated canadian general government-3850042","",""
"1137","mortgages, liabilities-consolidated canadian general government-3850042","",""
"1138","equity, liabilities-consolidated canadian general government-3850042","",""
"1139","insurance, pension and standardized guarantee schemes, liabilities-consolidated canadian general government-3850042","",""
"1140","pensions plans, liabilities-consolidated canadian general government-3850042","",""
"1141","insurance and standardized guarantee schemes, liabilities-consolidated canadian general government-3850042","",""
"1142","other accounts payable-consolidated canadian general government-3850042","",""
"1143","trade credits and advances, payable-consolidated canadian general government-3850042","",""
"1144","other payable-consolidated canadian general government-3850042","",""
"1145","monetary gold and special drawing rights (sdr), liabilities-consolidated canadian general government-3850042","",""
"1146","memorandum items, nonfinancial assets according to public sector accounts-consolidated canadian general government-3850042","",""
"1147","memorandum items, liabilities at nominal value-consolidated canadian general government-3850042","",""
"1148","memorandum items, employee future benefits-consolidated canadian general government-3850042","",""
"1149","memorandum items, environmental liabilities-consolidated canadian general government-3850042","",""
"1150","gross operating balance-consolidated provincial-territorial and local governments-3850042","GB_GROSS",""
"1151","net operating balance-consolidated provincial-territorial and local governments-3850042","GB_NET",""
"1152","revenue-consolidated provincial-territorial and local governments-3850042","GREV",""
"1153","taxes-consolidated provincial-territorial and local governments-3850042","",""
"1154","taxes on income, profits and capital gains-consolidated provincial-territorial and local governments-3850042","",""
"1155","taxes on income, profits and capital gains payable by individuals-consolidated provincial-territorial and local governments-3850042","TPY",""
"1156","taxes on income, profits and capital gains payable by corporations and other enterprises-consolidated provincial-territorial and local governments-3850042","TPC",""
"1157","taxes on income, profits and capital gains payable by nonresidents-consolidated provincial-territorial and local governments-3850042","",""
"1158","taxes on payroll and workforce-consolidated provincial-territorial and local governments-3850042","TPP",""
"1159","taxes on property-consolidated provincial-territorial and local governments-3850042","",""
"1160","recurrent taxes on immovable property-consolidated provincial-territorial and local governments-3850042","",""
"1161","real property taxes-consolidated provincial-territorial and local governments-3850042","",""
"1162","special assessments-consolidated provincial-territorial and local governments-3850042","",""
"1163","business taxes-consolidated provincial-territorial and local governments-3850042","",""
"1164","payments in lieu of taxes-consolidated provincial-territorial and local governments-3850042","",""
"1165","other taxes on property-consolidated provincial-territorial and local governments-3850042","",""
"1166","taxes on goods and services-consolidated provincial-territorial and local governments-3850042","TPX",""
"1167","general taxes on goods and services-consolidated provincial-territorial and local governments-3850042","",""
"1168","excises-consolidated provincial-territorial and local governments-3850042","",""
"1169","liquor taxes-consolidated provincial-territorial and local governments-3850042","",""
"1170","tobacco taxes-consolidated provincial-territorial and local governments-3850042","",""
"1171","gasoline and motive fuel taxes-consolidated provincial-territorial and local governments-3850042","TPXFU",""
"1172","other excise taxes-consolidated provincial-territorial and local governments-3850042","",""
"1173","profits of fiscal monopolies-consolidated provincial-territorial and local governments-3850042","",""
"1174","remitted liquor profits-consolidated provincial-territorial and local governments-3850042","",""
"1175","remitted profits on games of chance and other-consolidated provincial-territorial and local governments-3850042","",""
"1176","taxes on specific services-consolidated provincial-territorial and local governments-3850042","",""
"1177","taxes on use of goods and on permission to use goods or perform activities-consolidated provincial-territorial and local governments-3850042","",""
"1178","motor vehicle taxes-consolidated provincial-territorial and local governments-3850042","",""
"1179","other taxes on use of goods and on permission to use goods or perform activities-consolidated provincial-territorial and local governments-3850042","",""
"1180","other taxes on goods and services-consolidated provincial-territorial and local governments-3850042","",""
"1181","other taxes-consolidated provincial-territorial and local governments-3850042","",""
"1182","social contributions-consolidated provincial-territorial and local governments-3850042","",""
"1183","social security contributions-consolidated provincial-territorial and local governments-3850042","",""
"1184","contributions to workers' compensation boards-consolidated provincial-territorial and local governments-3850042","",""
"1185","other social security contributions-consolidated provincial-territorial and local governments-3850042","",""
"1186","other social contributions-consolidated provincial-territorial and local governments-3850042","",""
"1187","grants, revenue-consolidated provincial-territorial and local governments-3850042","",""
"1188","grants from foreign governments and international governmental organizations-consolidated provincial-territorial and local governments-3850042","",""
"1189","grants from general government units-consolidated provincial-territorial and local governments-3850042","GGRNT",""
"1190","other revenue-consolidated provincial-territorial and local governments-3850042","",""
"1191","property income-consolidated provincial-territorial and local governments-3850042","",""
"1192","interest revenue-consolidated provincial-territorial and local governments-3850042","GDIR",""
"1193","dividend revenue-consolidated provincial-territorial and local governments-3850042","",""
"1194","rent-consolidated provincial-territorial and local governments-3850042","",""
"1195","oil and gas royalties-consolidated provincial-territorial and local governments-3850042","TPROIL",""
"1196","forestry royalties-consolidated provincial-territorial and local governments-3850042","TPRFOREST",""
"1197","mineral royalties-consolidated provincial-territorial and local governments-3850042","TPRMIN",""
"1198","water power royalties-consolidated provincial-territorial and local governments-3850042","TPRHYDRO",""
"1199","other rent and property income-consolidated provincial-territorial and local governments-3850042","",""
"1200","sales of goods and services-consolidated provincial-territorial and local governments-3850042","",""
"1201","administrative fees-consolidated provincial-territorial and local governments-3850042","",""
"1202","housing and communtiy amenities-consolidated provincial-territorial and local governments-3850042","",""
"1203","tuition and school fees-consolidated provincial-territorial and local governments-3850042","",""
"1204","other sales of goods and services-consolidated provincial-territorial and local governments-3850042","",""
"1205","fines, penalties and forfeits-consolidated provincial-territorial and local governments-3850042","",""
"1206","voluntary transfers other than grants-consolidated provincial-territorial and local governments-3850042","",""
"1207","miscellaneous revenue-consolidated provincial-territorial and local governments-3850042","",""
"1208","expense-consolidated provincial-territorial and local governments-3850042","GEXP",""
"1209","compensation of employees-consolidated provincial-territorial and local governments-3850042","",""
"1210","use of goods and services-consolidated provincial-territorial and local governments-3850042","",""
"1211","consumption of fixed capital-consolidated provincial-territorial and local governments-3850042","GPDEPR",""
"1212","interest expense-consolidated provincial-territorial and local governments-3850042","GDIP",""
"1213","subsidies-consolidated provincial-territorial and local governments-3850042","",""
"1214","subsidies to government business enterprises-consolidated provincial-territorial and local governments-3850042","",""
"1215","subsidies to private enterprises-consolidated provincial-territorial and local governments-3850042","",""
"1216","agricultural subsidies to private enterprises-consolidated provincial-territorial and local governments-3850042","",""
"1217","other subsidies to private enterprises on products-consolidated provincial-territorial and local governments-3850042","",""
"1218","other subsidies to private enterprises on production-consolidated provincial-territorial and local governments-3850042","",""
"1219","grants, expense-consolidated provincial-territorial and local governments-3850042","",""
"1220","grants to foreign governments and international governmental organizations-consolidated provincial-territorial and local governments-3850042","",""
"1221","grants to general government units-consolidated provincial-territorial and local governments-3850042","",""
"1222","social benefits-consolidated provincial-territorial and local governments-3850042","GPGPE",""
"1223","social security benefits-consolidated provincial-territorial and local governments-3850042","",""
"1224","employment insurance and parental insurance benefits-consolidated provincial-territorial and local governments-3850042","",""
"1225","other social security benefits-consolidated provincial-territorial and local governments-3850042","",""
"1226","social assistance benefits-consolidated provincial-territorial and local governments-3850042","",""
"1227","employer social benefits-consolidated provincial-territorial and local governments-3850042","",""
"1228","other expense-consolidated provincial-territorial and local governments-3850042","",""
"1229","property expense other than interest-consolidated provincial-territorial and local governments-3850042","",""
"1230","miscellaneous other expense-consolidated provincial-territorial and local governments-3850042","",""
"1231","miscellaneous other current expense-consolidated provincial-territorial and local governments-3850042","",""
"1232","tax expenses-consolidated provincial-territorial and local governments-3850042","",""
"1233","transfers to persons-consolidated provincial-territorial and local governments-3850042","",""
"1234","transfers to non-profit institutions-consolidated provincial-territorial and local governments-3850042","",""
"1235","other miscellaneous current expenses-consolidated provincial-territorial and local governments-3850042","",""
"1236","miscellaneous other capital expense-consolidated provincial-territorial and local governments-3850042","",""
"1237","memorandum items, total expenditures-consolidated provincial-territorial and local governments-3850042","",""
"1238","memorandum items, capitalized research and development costs-consolidated provincial-territorial and local governments-3850042","",""
"1239","memorandum items, capitalized research and development compensation of employees-consolidated provincial-territorial and local governments-3850042","",""
"1240","memorandum items, capitalized research and development use of goods and services-consolidated provincial-territorial and local governments-3850042","",""
"1241","memorandum items, consumption of fixed capital according to public sector accounts-consolidated provincial-territorial and local governments-3850042","",""
"1242","net worth-consolidated provincial-territorial and local governments-3850042","",""
"1243","nonfinancial assets-consolidated provincial-territorial and local governments-3850042","",""
"1244","net financial worth-consolidated provincial-territorial and local governments-3850042","",""
"1245","financial assets-consolidated provincial-territorial and local governments-3850042","",""
"1246","currency and deposits, assets-consolidated provincial-territorial and local governments-3850042","",""
"1247","debt securities, assets-consolidated provincial-territorial and local governments-3850042","",""
"1248","treasury bills, assets-consolidated provincial-territorial and local governments-3850042","",""
"1249","finance and other short-term paper, assets-consolidated provincial-territorial and local governments-3850042","",""
"1250","bonds, assets-consolidated provincial-territorial and local governments-3850042","",""
"1251","loans, assets-consolidated provincial-territorial and local governments-3850042","",""
"1252","loans and advances, assets-consolidated provincial-territorial and local governments-3850042","",""
"1253","mortgages, assets-consolidated provincial-territorial and local governments-3850042","",""
"1254","equity and investment fund shares, assets-consolidated provincial-territorial and local governments-3850042","",""
"1255","marketable shares-consolidated provincial-territorial and local governments-3850042","",""
"1256","non-marketable shares and other equity-consolidated provincial-territorial and local governments-3850042","",""
"1257","investment fund shares-consolidated provincial-territorial and local governments-3850042","",""
"1258","insurance and pension, assets-consolidated provincial-territorial and local governments-3850042","",""
"1259","other accounts receivable-consolidated provincial-territorial and local governments-3850042","",""
"1260","trade credits and advances, receivable-consolidated provincial-territorial and local governments-3850042","",""
"1261","other receivable-consolidated provincial-territorial and local governments-3850042","",""
"1262","monetary gold and special drawing rights (sdr), assets-consolidated provincial-territorial and local governments-3850042","",""
"1263","liabilities-consolidated provincial-territorial and local governments-3850042","",""
"1264","currency and deposits, liabilities-consolidated provincial-territorial and local governments-3850042","",""
"1265","debt securities, liabilities-consolidated provincial-territorial and local governments-3850042","",""
"1266","treasury bills, liabilities-consolidated provincial-territorial and local governments-3850042","",""
"1267","finance and other short-term paper, liabilities-consolidated provincial-territorial and local governments-3850042","",""
"1268","saving bonds-consolidated provincial-territorial and local governments-3850042","",""
"1269","bonds, liabilities-consolidated provincial-territorial and local governments-3850042","",""
"1270","loans, liabilities-consolidated provincial-territorial and local governments-3850042","",""
"1271","bank overdrafts-consolidated provincial-territorial and local governments-3850042","",""
"1272","loans and advances, liabilities-consolidated provincial-territorial and local governments-3850042","",""
"1273","mortgages, liabilities-consolidated provincial-territorial and local governments-3850042","",""
"1274","equity, liabilities-consolidated provincial-territorial and local governments-3850042","",""
"1275","insurance, pension and standardized guarantee schemes, liabilities-consolidated provincial-territorial and local governments-3850042","",""
"1276","pensions plans, liabilities-consolidated provincial-territorial and local governments-3850042","",""
"1277","insurance and standardized guarantee schemes, liabilities-consolidated provincial-territorial and local governments-3850042","",""
"1278","other accounts payable-consolidated provincial-territorial and local governments-3850042","",""
"1279","trade credits and advances, payable-consolidated provincial-territorial and local governments-3850042","",""
"1280","other payable-consolidated provincial-territorial and local governments-3850042","",""
"1281","monetary gold and special drawing rights (sdr), liabilities-consolidated provincial-territorial and local governments-3850042","",""
"1282","memorandum items, nonfinancial assets according to public sector accounts-consolidated provincial-territorial and local governments-3850042","",""
"1283","memorandum items, liabilities at nominal value-consolidated provincial-territorial and local governments-3850042","",""
"1284","memorandum items, employee future benefits-consolidated provincial-territorial and local governments-3850042","",""
"1285","memorandum items, environmental liabilities-consolidated provincial-territorial and local governments-3850042","",""
"1286","total cost of energy-3010008","",""
"1287","total opening inventories-3010008","",""
"1288","total closing inventories-3010008","",""
"1289","manufacturing value added-3010008","",""
"1290","total number of employees-3010008","",""
"1291","labour productivity and related measures by business sector industry and by non-commercial activity consistent with the industry accounts-3830033","",""
"1292","memorandum items, quebec abatement-consolidated provincial-territorial and local governments-3850042","",""
"1293","memorandum items, quebec abatement-consolidated canadian general government-3850042","",""
"1294","change in pension entitlements-3780153","",""
"1295","household net saving-3780153","",""
"1296","distributions of household economic accounts-total assets-3780151","PEGW",""
"1297","distributions of household economic accounts-financial assets-3780151","PEWGF",""
"1298","distributions of household economic accounts-life insurance and pensions-3780151","",""
"1299","distributions of household economic accounts-other financial assets-3780151","PEGWOF",""
"1300","distributions of household economic accounts-non-financial assets-3780151","PEGWNF",""
"1301","distributions of household economic accounts-real estate-3780151","PEGWR",""
"1302","distributions of household economic accounts-other non-financial assets-3780151","PEGWONF",""
"1303","distributions of household economic accounts-total liabilities-3780151","HHLIAB",""
"1304","distributions of household economic accounts-mortgage liabilities-3780151","MRTPE",""
"1305","distributions of household economic accounts-other liabilities-3780151","HHLIABO",""
"1306","distributions of household economic accounts-net worth (wealth)-3780151","PENW",""
"1307","depreciation - chained (2007) dollars - statcan","",""
"1308","depreciation - current prices - statcan","",""
"1309","depreciation, build - chained (2007) dollars - statcan","",""
"1310","depreciation, build - current prices - statcan","",""
"1311","depreciation, eng - chained (2007) dollars - statcan","",""
"1312","depreciation, eng - current prices - statcan","",""
"1313","depreciation, ip - chained (2007) dollars - statcan","",""
"1314","depreciation, ip - current prices - statcan","",""
"1315","depreciation, mach - chained (2007) dollars - statcan","",""
"1316","depreciation, mach - current prices - statcan","",""
"1317","investment - chained (2007) dollars - statcan","",""
"1318","investment - current prices - statcan","",""
"1319","investment, build - chained (2007) dollars - statcan","",""
"1320","investment, build - current prices - statcan","",""
"1321","investment, eng - chained (2007) dollars - statcan","",""
"1322","investment, eng - current prices - statcan","",""
"1323","investment, ip - chained (2007) dollars - statcan","",""
"1324","investment, ip - current prices - statcan","",""
"1325","investment, mach - chained (2007) dollars - statcan","",""
"1326","investment, mach - current prices - statcan","",""
"1327","stock - chained (2007) dollars - statcan","",""
"1328","stock - current prices - statcan","",""
"1329","stock, build - chained (2007) dollars - statcan","",""
"1330","stock, build - current prices - statcan","",""
"1331","stock, eng - chained (2007) dollars - statcan","",""
"1332","stock, eng - current prices - statcan","",""
"1333","stock, ip - chained (2007) dollars - statcan","",""
"1334","stock, ip - current prices - statcan","",""
"1335","stock, mach - chained (2007) dollars - statcan","",""
"1336","stock, mach - current prices - statcan","",""
"1337","geometric (infinite) depreciation-construction-0310002-chained (2007) dollars","",""
"1338","geometric (infinite) depreciation-construction-0310002-current prices","",""
"1339","geometric (infinite) end-year net stock-construction-0310002-chained (2007) dollars","",""
"1340","geometric (infinite) end-year net stock-construction-0310002-current prices","",""
"1341","investment-construction-0310002-chained (2007) dollars","",""
"1342","investment-construction-0310002-current prices","",""
"1343","geometric depreciation-construction-0310005-chained (2012) dollars","",""
"1344","geometric depreciation-construction-0310005-current prices","",""
"1345","geometric end-year net stock-construction-0310005-chained (2012) dollars","",""
"1346","geometric end-year net stock-construction-0310005-current prices","",""
"1347","investment-construction-0310005-chained (2012) dollars","",""
"1348","investment-construction-0310005-current prices","",""
"1349","depreciation, construction - chained (2007) dollars - statcan","",""
"1350","depreciation, construction - current prices - statcan","",""
"1351","investment, construction - chained (2007) dollars - statcan","",""
"1352","investment, construction - current prices - statcan","",""
"1353","stock, construction - chained (2007) dollars - statcan","",""
"1354","stock, construction - current prices - statcan","",""
"1355","totalpayroll","",""
"1356","avghrs","AVHR",""
